,British Pound Sterling - Invesco,1257.HK,018000.KQ,n/a,688008.SS,SUM
07/09/2021,100.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/13/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/14/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/15/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/16/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/21/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/23/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/26/2021,0.0,0.0,100.0,0.0,0.0,100.0
07/27/2021,0.0,0.0,100.0,0.0,0.0,100.0
07/28/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/30/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/02/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/03/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/04/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/05/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/06/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/09/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/10/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/11/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/13/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/16/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/17/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/18/2021,0.0,100.0,0.0,0.0,0.0,100.0
08/19/2021,0.0,100.0,0.0,0.0,0.0,100.0
08/20/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/23/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/24/2021,0.0,0.0,0.0,100.0,0.0,100.0
08/25/2021,0.0,0.0,0.0,0.0,100.0,100.0
08/26/2021,0.0,0.0,0.0,0.0,100.0,100.0
08/27/2021,0.0,0.0,0.0,0.0,100.0,100.0
08/30/2021,0.0,0.0,0.0,0.0,100.0,100.0
08/31/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/01/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/02/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/03/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/06/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/07/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/08/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/09/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/10/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/13/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/14/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/15/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/16/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/17/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/20/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/21/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/22/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/23/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/24/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/27/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/28/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/29/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/30/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/01/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/04/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/07/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/08/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/11/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/12/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/13/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/14/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/15/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/18/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/19/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/20/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/21/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/22/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/25/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/26/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/27/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/28/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/29/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/01/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/02/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/03/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/04/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/05/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/08/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/09/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/10/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/11/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/12/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/15/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/16/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/17/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/18/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/19/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/22/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/23/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/24/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/25/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/26/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/29/2021,0.0,0.0,0.0,100.0,0.0,100.0
11/30/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/01/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/02/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/06/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/07/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/08/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/09/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/10/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/13/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/14/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/15/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/16/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/17/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/20/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/21/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/22/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/23/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/24/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/27/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/28/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/29/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/30/2021,0.0,0.0,0.0,100.0,0.0,100.0
12/31/2021,0.0,0.0,0.0,100.0,0.0,100.0
01/03/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/03/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/03/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/04/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/05/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/07/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/10/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/11/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/12/2022,0.0,0.0,0.0,100.0,0.0,100.0
01/13/2022,0.0,0.0,0.0,100.0,0.0,100.0
